loss,acc,jaccard_coef_int,val_loss,val_acc,val_jaccard_coef_int
7.286108289472759,0.6394035816192627,0.17383718490600586,8.528974533081055,0.5261344909667969,0.28483879566192627
7.2221620727330444,0.6459540128707886,0.16670382022857666,8.445901870727539,0.5854358673095703,0.12140150368213654
7.080290039815009,0.6547480225563049,0.16725528240203857,8.500847816467285,0.5492649078369141,0.20266938209533691
6.9260296281427145,0.6616885662078857,0.17554523050785065,8.916089057922363,0.5970783233642578,0.06283024698495865
6.565815854817629,0.6781936287879944,0.19508536159992218,8.56364631652832,0.5475749969482422,0.19473052024841309
6.133512944541872,0.6971348524093628,0.22468344867229462,9.230389595031738,0.49373817443847656,0.23329466581344604
5.636233409680426,0.7192608714103699,0.26310640573501587,8.998971939086914,0.5038108825683594,0.25006675720214844
5.018386261630804,0.7469947934150696,0.3190096616744995,8.83716869354248,0.5142307281494141,0.2519785463809967
4.328251709789038,0.7788709402084351,0.3896533250808716,9.497334480285645,0.47768592834472656,0.22866132855415344
3.795311556663364,0.8042045831680298,0.4501400589942932,9.648393630981445,0.4601154327392578,0.2599535882472992
3.3324116779491306,0.8266416788101196,0.5070870518684387,8.585798263549805,0.5244216918945312,0.2782289385795593
2.9022964515723286,0.8479253053665161,0.5628575086593628,9.169650077819824,0.49088478088378906,0.25811445713043213
2.489194153621793,0.8685684204101562,0.6204522848129272,9.278422355651855,0.4623432159423828,0.3665698170661926
2.1097107343375683,0.8879700899124146,0.6740034818649292,8.986543655395508,0.4800548553466797,0.3725760877132416
1.8019343048334122,0.9039645195007324,0.7177569270133972,9.506986618041992,0.4572486877441406,0.3136531710624695
1.5522332009859383,0.9170265197753906,0.7544246912002563,8.833818435668945,0.4958152770996094,0.33952993154525757
1.3828254426596687,0.9259859323501587,0.7791538834571838,8.864727020263672,0.5046539306640625,0.2864009141921997
1.2518683830741792,0.9329187273979187,0.7987619638442993,8.831818580627441,0.49823760986328125,0.32569950819015503
1.1289825595915317,0.9394465684890747,0.8173189163208008,8.468148231506348,0.5372676849365234,0.2552345395088196
1.0411959703080356,0.9440793991088867,0.8312870860099792,8.355915069580078,0.5513076782226562,0.22926342487335205
